GEOID,households_total,white_nonhisp_100k_plus,black_hh_income_lt25k,black_pop_below_poverty,total_population,ice_income_households,ice_poverty_mixed,source,nonfatal_shooting_rate,vacant_housing_pct,college_educated_pct,black_residents_pct,median_household_income
24510260403,741,11,174,436,1764,-0.21997300944669365,-0.2409297052154195,acs5_2019_tract,NA,6.4393939393939394,12.604263206672845,98.69614512471655,31625
24510230200,982,441,10,5,1982,0.43890020366598775,0.2199798183652876,acs5_2019_tract,NA,11.291779584462512,73.13131313131314,8.526740665993945,107391
24510260102,1707,83,285,443,4775,-0.11833626244874049,-0.07539267015706806,acs5_2019_tract,NA,14.177978883861236,16.38112413585813,89.08900523560209,62586
24510260303,456,33,185,252,969,-0.3333333333333333,-0.2260061919504644,acs5_2019_tract,NA,8.617234468937875,8.571428571428571,64.60268317853458,17000
24510260800,995,71,87,124,2332,-0.016080402010050253,-0.022727272727272728,acs5_2019_tract,NA,11.081322609472744,29.05325443786982,13.293310463121784,40795
24510270401,1920,163,123,154,4892,0.020833333333333332,0.001839738348323794,acs5_2019_tract,NA,11.966987620357633,26.229508196721312,59.07604251839739,59886
24510280401,1473,118,277,318,3269,-0.1079429735234216,-0.06118078923218109,acs5_2019_tract,NA,8.16708229426434,29.597701149425287,81.64576323034566,46493
24510270302,694,114,69,238,1887,0.06484149855907781,-0.06571277159512454,acs5_2019_tract,NA,7.095046854082999,20.100502512562816,45.62798092209857,71500
24510270702,892,84,83,103,1912,0.0011210762331838565,-0.00993723849372385,acs5_2019_tract,NA,18.83530482256597,26.946933149552034,67.31171548117155,55285
24510270903,1281,126,225,167,5241,-0.07728337236533958,-0.007822934554474336,acs5_2019_tract,NA,11.472011057360055,34.917175239755885,72.19996183934364,49327
24510271101,880,176,174,173,1928,0.0022727272727272726,0.0015560165975103733,acs5_2019_tract,NA,6.779661016949152,51.817533856022806,32.98755186721991,51765
24510271801,1243,0,509,921,2700,-0.4094931617055511,-0.3411111111111111,acs5_2019_tract,NA,23.318938926588526,12.244897959183673,95.07407407407408,26817
24510260201,2260,58,423,826,5901,-0.16150442477876106,-0.13014743263853584,acs5_2019_tract,NA,6.146179401993355,20.408671816596062,79.41026944585663,40996
24510260401,1215,31,46,341,4148,-0.012345679012345678,-0.07473481195756991,acs5_2019_tract,NA,8.920539730134932,5.7580778790389395,17.116682738669237,40281
24510270301,1147,203,66,112,3074,0.11944202266782912,0.02960312296681848,acs5_2019_tract,NA,8.092948717948717,38.52423852423853,54.16395575797007,77977
24510270802,2167,0,628,929,5154,-0.28980156898938625,-0.18024835079549864,acs5_2019_tract,NA,2.8251121076233185,18.232530827950676,89.93015133876601,47566
24510270804,1360,230,213,168,2990,0.0125,0.02073578595317726,acs5_2019_tract,NA,11.400651465798045,36.512027491408936,39.4314381270903,55750
24510270805,1972,64,339,500,5584,-0.1394523326572008,-0.07808022922636103,acs5_2019_tract,NA,12.820512820512821,27.830999754360107,82.9512893982808,58441
24510271102,441,306,0,0,4597,0.6938775510204082,0.0665651511855558,acs5_2019_tract,NA,12.845849802371541,81.54696132596685,22.253643680661302,195156
24510271802,831,0,287,633,2290,-0.345367027677497,-0.27641921397379915,acs5_2019_tract,NA,37.424698795180724,10.983009708737864,96.55021834061135,33156
24510280101,1237,0,352,952,3401,-0.28455941794664513,-0.279917671273155,acs5_2019_tract,NA,12.019914651493599,14.5413870246085,92.29638341664216,45855
24510280402,617,0,196,262,1632,-0.31766612641815234,-0.16053921568627452,acs5_2019_tract,NA,12.976022566995768,21.149042464612823,98.10049019607843,48750
24510280403,2205,216,179,229,5468,0.016780045351473923,-0.002377468910021946,acs5_2019_tract,NA,6.883445945945946,27.059843885516045,73.75640087783468,57973
24510271300,1037,636,15,0,2455,0.5988428158148505,0.2590631364562118,acs5_2019_tract,NA,8.311229000884174,87.95180722891567,5.05091649694501,154313
24510250103,1504,130,233,297,3378,-0.06848404255319149,-0.049437537004144466,acs5_2019_tract,NA,13.662456946039036,12.541133455210238,34.695085849615154,41307
24510280102,2534,0,834,1271,6231,-0.3291239147592739,-0.20398009950248755,acs5_2019_tract,NA,12.34866828087167,27.938789705541385,97.41614508104638,50798
24510160600,1033,0,322,695,3266,-0.3117134559535334,-0.21279853031230864,acs5_2019_tract,NA,41.57239819004525,7.491582491582491,94.61114513165953,43306
24510240100,1602,1012,0,2,3320,0.6317103620474407,0.3042168674698795,acs5_2019_tract,NA,13.778256189451023,78.34716708769398,1.8975903614457832,142328
24510260605,1732,144,92,66,4947,0.03002309468822171,0.015767131594906003,acs5_2019_tract,NA,12.214901165737455,10.146252285191956,14.210632706690923,41698
24510271503,677,131,5,14,876,0.1861152141802068,0.13356164383561644,acs5_2019_tract,NA,1.741654571843251,77.06766917293233,13.013698630136986,56490
24510100200,1085,0,677,1178,2858,-0.623963133640553,-0.41217634709587125,acs5_2019_tract,NA,14.835164835164836,3.459637561779242,96.0111966410077,16080
24510150800,1786,0,661,1077,4719,-0.37010078387458006,-0.22822631913541006,acs5_2019_tract,NA,27.427874847622917,17.512835139760412,97.73257045984319,36446
24510170300,809,0,399,668,1767,-0.4932014833127318,-0.37804187889077534,acs5_2019_tract,NA,34.440842787682335,18.75,93.15223542727787,20884
24510240400,1156,634,13,13,2721,0.53719723183391,0.22822491730981256,acs5_2019_tract,NA,6.774193548387097,73.42625899280576,0.5145167217934583,110982
24510270902,1425,9,261,297,5091,-0.17684210526315788,-0.05657041838538598,acs5_2019_tract,NA,6.1882817643186305,27.441860465116278,87.4680809271263,64028
24510271002,1498,12,428,1495,4250,-0.27770360480640854,-0.34894117647058825,acs5_2019_tract,NA,15.031196823596144,19.479090242112985,92.32941176470588,40147
24510260402,1263,0,406,828,3315,-0.32145684877276326,-0.2497737556561086,acs5_2019_tract,NA,3.6613272311212817,11.58924205378973,92.06636500754148,38934
