census_tract,tract_name,county_name,tangled_properties,at_risk_properties,tangled_net_equity,at_risk_net_equity,tangled_gross_positive_equity,at_risk_gross_positive_equity,tangled_gross_negative_equity,at_risk_gross_negative_equity
24510010100,Census Tract 101; Baltimore city; Maryland,"Baltimore city, Maryland",6,8,1609063,2378117,1609063,2378117,,
24510010200,Census Tract 102; Baltimore city; Maryland,"Baltimore city, Maryland",9,4,2390709,747837,2390709,747837,,
24510010300,Census Tract 103; Baltimore city; Maryland,"Baltimore city, Maryland",4,5,999348,633188,999348,689567,,-56379
24510010400,Census Tract 104; Baltimore city; Maryland,"Baltimore city, Maryland",3,4,582048,903873,582048,903873,,
24510010500,Census Tract 105; Baltimore city; Maryland,"Baltimore city, Maryland",4,4,1096251,-69623318,1096251,637652,,-70260970
24510020100,Census Tract 201; Baltimore city; Maryland,"Baltimore city, Maryland",2,4,507702,1033901,507702,1033901,,
24510020200,Census Tract 202; Baltimore city; Maryland,"Baltimore city, Maryland",3,4,785147,775842,785147,775842,,
24510020300,Census Tract 203; Baltimore city; Maryland,"Baltimore city, Maryland",2,1,1857264,318653,1857264,318653,,
24510030100,Census Tract 301; Baltimore city; Maryland,"Baltimore city, Maryland",1,2,195019,271015,195019,271015,,
24510030200,Census Tract 302; Baltimore city; Maryland,"Baltimore city, Maryland",4,8,1198931,2081536,1198931,2194376,,-112840
24510040100,Census Tract 401; Baltimore city; Maryland,"Baltimore city, Maryland",3,2,281678,242361,282020,242361,-342,
24510040200,Census Tract 402; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,,,,,,
24510050100,"Census Tract 501, Baltimore city, Maryland","Baltimore city, Maryland",0,0,,,,,,
24510060100,Census Tract 601; Baltimore city; Maryland,"Baltimore city, Maryland",11,3,1398009,-32145,1442418,80593,-44409,-112738
24510060200,Census Tract 602; Baltimore city; Maryland,"Baltimore city, Maryland",12,8,1684783,600113,1692938,645037,-8155,-44924
24510060300,Census Tract 603; Baltimore city; Maryland,"Baltimore city, Maryland",4,2,588121,334470,588121,334470,,
24510060400,Census Tract 604; Baltimore city; Maryland,"Baltimore city, Maryland",0,3,,570001,,570001,,
24510060500,"Census Tract 605, Baltimore city, Maryland","Baltimore city, Maryland",0,0,,,,,,
24510070100,Census Tract 701; Baltimore city; Maryland,"Baltimore city, Maryland",10,4,965530,321167,965530,321167,,
24510070200,Census Tract 702; Baltimore city; Maryland,"Baltimore city, Maryland",18,6,1952279,611331,1952279,611331,,
24510070300,Census Tract 703; Baltimore city; Maryland,"Baltimore city, Maryland",10,0,1671011,,1671011,,,
24510070400,Census Tract 704; Baltimore city; Maryland,"Baltimore city, Maryland",1,1,114366,199993,114366,199993,,
24510080101,Census Tract 801.01; Baltimore city; Maryland,"Baltimore city, Maryland",11,8,1250628,1291552,1250628,1291552,,
24510080102,Census Tract 801.02; Baltimore city; Maryland,"Baltimore city, Maryland",7,3,510437,171342,510437,196897,,-25555
24510080200,Census Tract 802; Baltimore city; Maryland,"Baltimore city, Maryland",38,2,3777217,149905,3777217,149905,,
24510080301,Census Tract 803.01; Baltimore city; Maryland,"Baltimore city, Maryland",27,3,2257026,148876,2278954,148876,-21928,
24510080302,Census Tract 803.02; Baltimore city; Maryland,"Baltimore city, Maryland",48,6,5377232,524019,5377232,524019,,
24510080400,Census Tract 804; Baltimore city; Maryland,"Baltimore city, Maryland",23,3,2590183,166565,2590183,202780,,-36215
24510080500,Census Tract 805; Baltimore city; Maryland,"Baltimore city, Maryland",23,9,1811284,719967,1811284,719967,,
24510080600,Census Tract 806; Baltimore city; Maryland,"Baltimore city, Maryland",47,4,4246385,314130,4246385,314130,,
24510080700,Census Tract 807; Baltimore city; Maryland,"Baltimore city, Maryland",20,3,2512308,441491,2512308,441491,,
24510080800,Census Tract 808; Baltimore city; Maryland,"Baltimore city, Maryland",4,1,704514,333200,704514,333200,,
24510090100,Census Tract 901; Baltimore city; Maryland,"Baltimore city, Maryland",22,9,3126264,1209056,3127355,1209056,-1091,
24510090200,Census Tract 902; Baltimore city; Maryland,"Baltimore city, Maryland",15,6,2818643,722864,2818643,722864,,
24510090300,Census Tract 903; Baltimore city; Maryland,"Baltimore city, Maryland",8,10,1387878,1140004,1387878,1140004,,
24510090400,Census Tract 904; Baltimore city; Maryland,"Baltimore city, Maryland",3,0,372227,,372227,,,
24510090500,Census Tract 905; Baltimore city; Maryland,"Baltimore city, Maryland",7,3,667285,329726,667285,329726,,
24510090600,Census Tract 906; Baltimore city; Maryland,"Baltimore city, Maryland",16,6,2015992,731832,2036344,731832,-20352,
24510090700,Census Tract 907; Baltimore city; Maryland,"Baltimore city, Maryland",30,3,3106472,251148,3144889,251148,-38417,
24510090800,Census Tract 908; Baltimore city; Maryland,"Baltimore city, Maryland",38,6,3872032,538914,3872032,538914,,
24510090900,Census Tract 909; Baltimore city; Maryland,"Baltimore city, Maryland",11,3,1041408,255727,1041408,255727,,
24510100100,Census Tract 1001; Baltimore city; Maryland,"Baltimore city, Maryland",16,1,1656336,203883,1656336,203883,,
24510100200,Census Tract 1002; Baltimore city; Maryland,"Baltimore city, Maryland",4,1,512835,59182,512835,59182,,
24510100300,Census Tract 1003; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,,,,,,
24510100400,"Census Tract 1004, Baltimore city, Maryland","Baltimore city, Maryland",0,0,,,,,,
24510110100,Census Tract 1101; Baltimore city; Maryland,"Baltimore city, Maryland",3,4,274170,535706,274170,535706,,
24510110200,Census Tract 1102; Baltimore city; Maryland,"Baltimore city, Maryland",14,6,2684060,1203232,2684060,1203232,,
