census_tract,tract_name,county_name,tangled_properties,at_risk_properties,tangled_net_equity,at_risk_net_equity,tangled_gross_positive_equity,at_risk_gross_positive_equity,tangled_gross_negative_equity,at_risk_gross_negative_equity,GEOID,intersectional_group,method_version,validated_against_paper_map,validation_date,source_pdf
24510010100,Census Tract 101; Baltimore city; Maryland,"Baltimore city, Maryland",6,8,1609063,2378117,1609063,2378117,NA,NA,24510010100,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510010200,Census Tract 102; Baltimore city; Maryland,"Baltimore city, Maryland",9,4,2390709,747837,2390709,747837,NA,NA,24510010200,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510010300,Census Tract 103; Baltimore city; Maryland,"Baltimore city, Maryland",4,5,999348,633188,999348,689567,NA,-56379,24510010300,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510010400,Census Tract 104; Baltimore city; Maryland,"Baltimore city, Maryland",3,4,582048,903873,582048,903873,NA,NA,24510010400,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510010500,Census Tract 105; Baltimore city; Maryland,"Baltimore city, Maryland",4,4,1096251,-69623318,1096251,637652,NA,-70260970,24510010500,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510020100,Census Tract 201; Baltimore city; Maryland,"Baltimore city, Maryland",2,4,507702,1033901,507702,1033901,NA,NA,24510020100,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510020200,Census Tract 202; Baltimore city; Maryland,"Baltimore city, Maryland",3,4,785147,775842,785147,775842,NA,NA,24510020200,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510020300,Census Tract 203; Baltimore city; Maryland,"Baltimore city, Maryland",2,1,1857264,318653,1857264,318653,NA,NA,24510020300,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510030100,Census Tract 301; Baltimore city; Maryland,"Baltimore city, Maryland",1,2,195019,271015,195019,271015,NA,NA,24510030100,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510030200,Census Tract 302; Baltimore city; Maryland,"Baltimore city, Maryland",4,8,1198931,2081536,1198931,2194376,NA,-112840,24510030200,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510040100,Census Tract 401; Baltimore city; Maryland,"Baltimore city, Maryland",3,2,281678,242361,282020,242361,-342,NA,24510040100,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510040200,Census Tract 402; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,NA,NA,NA,NA,NA,NA,24510040200,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510050100,"Census Tract 501, Baltimore city, Maryland","Baltimore city, Maryland",0,0,NA,NA,NA,NA,NA,NA,24510050100,NA,NA,NA,NA,NA
24510060100,Census Tract 601; Baltimore city; Maryland,"Baltimore city, Maryland",11,3,1398009,-32145,1442418,80593,-44409,-112738,24510060100,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510060200,Census Tract 602; Baltimore city; Maryland,"Baltimore city, Maryland",12,8,1684783,600113,1692938,645037,-8155,-44924,24510060200,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510060300,Census Tract 603; Baltimore city; Maryland,"Baltimore city, Maryland",4,2,588121,334470,588121,334470,NA,NA,24510060300,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510060400,Census Tract 604; Baltimore city; Maryland,"Baltimore city, Maryland",0,3,NA,570001,NA,570001,NA,NA,24510060400,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510060500,"Census Tract 605, Baltimore city, Maryland","Baltimore city, Maryland",0,0,NA,NA,NA,NA,NA,NA,24510060500,NA,NA,NA,NA,NA
24510070100,Census Tract 701; Baltimore city; Maryland,"Baltimore city, Maryland",10,4,965530,321167,965530,321167,NA,NA,24510070100,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510070200,Census Tract 702; Baltimore city; Maryland,"Baltimore city, Maryland",18,6,1952279,611331,1952279,611331,NA,NA,24510070200,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
