GEOID,intersectional_group,method_version,validated_against_paper_map,validation_date,source_pdf
24510150900,Previous advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510240300,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510250101,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510250102,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510250103,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510250203,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510240400,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510250204,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510060300,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510260800,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510080800,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510260900,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510230200,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510270501,Sustained advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510160200,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510100100,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130300,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510060100,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510280301,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510160100,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510180100,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130200,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130400,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130600,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130700,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130803,Sustained advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130804,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130805,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
